trial_num,image_id,library
1,193.png,Gemini3_alcohol_12.25resize
2,139.png,Gemini3_alcohol_12.25resize
3,132.png,Gemini3_alcohol_12.25resize
4,N061.png,GAPED_neutral_resized
5,137.png,Gemini3_alcohol_12.25resize
6,SDC11508.jpg,ABPS_alcohol
7,32.png,Gemini3_alcohol_12.25resize
8,00089.png,WFAIS_alcohol_resized
9,76.png,Gemini3_alcohol_12.25resize
10,100.png,Gemini3_alcohol_12.25resize
11,103.png,Gemini3_alcohol_12.25resize
12,159.png,Gemini3_alcohol_12.25resize
13,167.png,Gemini3_alcohol_12.25resize
14,39.png,Gemini3_alcohol_12.25resize
15,185.png,Gemini3_alcohol_12.25resize
16,162.png,Gemini3_alcohol_12.25resize
17,SDC11584.jpg,ABPS_alcohol
18,131.png,Gemini3_alcohol_12.25resize
19,87.png,Gemini3_alcohol_12.25resize
20,00653.png,WFAIS_alcohol_resized
21,SDC11582.jpg,ABPS_alcohol
22,N030.png,GAPED_neutral_resized
23,N039.png,GAPED_neutral_resized
24,108.png,Gemini3_alcohol_12.25resize
25,149.png,Gemini3_alcohol_12.25resize
26,N002.png,GAPED_neutral_resized
27,N072.png,GAPED_neutral_resized
28,20.png,Gemini3_alcohol_12.25resize
29,161.png,Gemini3_alcohol_12.25resize
30,N076.png,GAPED_neutral_resized
31,153.png,Gemini3_alcohol_12.25resize
32,189.png,Gemini3_alcohol_12.25resize
33,N014.png,GAPED_neutral_resized
34,N011.png,GAPED_neutral_resized
35,46.png,Gemini3_alcohol_12.25resize
36,200.png,Gemini3_alcohol_12.25resize
37,8.png,Gemini3_alcohol_12.25resize
38,117.png,Gemini3_alcohol_12.25resize
39,2.png,Gemini3_alcohol_12.25resize
40,SDC11498.jpg,ABPS_alcohol
41,150.png,Gemini3_alcohol_12.25resize
42,158.png,Gemini3_alcohol_12.25resize
43,N062.png,GAPED_neutral_resized
44,N044.png,GAPED_neutral_resized
45,61.png,Gemini3_alcohol_12.25resize
46,97.png,Gemini3_alcohol_12.25resize
47,105.png,Gemini3_alcohol_12.25resize
48,00339.png,WFAIS_alcohol_resized
49,N046.png,GAPED_neutral_resized
50,140.png,Gemini3_alcohol_12.25resize
51,69.png,Gemini3_alcohol_12.25resize
52,107.png,Gemini3_alcohol_12.25resize
53,86.png,Gemini3_alcohol_12.25resize
54,13.png,Gemini3_alcohol_12.25resize
55,44.png,Gemini3_alcohol_12.25resize
56,147.png,Gemini3_alcohol_12.25resize
57,70.png,Gemini3_alcohol_12.25resize
58,SDC11502.jpg,ABPS_alcohol
59,N006.png,GAPED_neutral_resized
60,5.png,Gemini3_alcohol_12.25resize
61,122.png,Gemini3_alcohol_12.25resize
62,N035.png,GAPED_neutral_resized
63,168.png,Gemini3_alcohol_12.25resize
64,152.png,Gemini3_alcohol_12.25resize
65,130.png,Gemini3_alcohol_12.25resize
66,N037.png,GAPED_neutral_resized
67,101.png,Gemini3_alcohol_12.25resize
68,104.png,Gemini3_alcohol_12.25resize
69,N013.png,GAPED_neutral_resized
70,59.png,Gemini3_alcohol_12.25resize
71,N008.png,GAPED_neutral_resized
72,N026.png,GAPED_neutral_resized
73,N016.png,GAPED_neutral_resized
74,SDC11578.jpg,ABPS_alcohol
75,38.png,Gemini3_alcohol_12.25resize
76,113.png,Gemini3_alcohol_12.25resize
77,3.png,Gemini3_alcohol_12.25resize
78,182.png,Gemini3_alcohol_12.25resize
79,SDC11588.jpg,ABPS_alcohol
80,SDC11505.jpg,ABPS_alcohol
81,00967.png,WFAIS_alcohol_resized
82,75.png,Gemini3_alcohol_12.25resize
83,47.png,Gemini3_alcohol_12.25resize
84,SDC11562.jpg,ABPS_alcohol
85,187.png,Gemini3_alcohol_12.25resize
86,164.png,Gemini3_alcohol_12.25resize
87,138.png,Gemini3_alcohol_12.25resize
88,40.png,Gemini3_alcohol_12.25resize
89,21.png,Gemini3_alcohol_12.25resize
90,98.png,Gemini3_alcohol_12.25resize
91,N070.png,GAPED_neutral_resized
92,54.png,Gemini3_alcohol_12.25resize
93,28.png,Gemini3_alcohol_12.25resize
94,118.png,Gemini3_alcohol_12.25resize
95,151.png,Gemini3_alcohol_12.25resize
96,6.png,Gemini3_alcohol_12.25resize
97,9.png,Gemini3_alcohol_12.25resize
98,00468.png,WFAIS_alcohol_resized
99,73.png,Gemini3_alcohol_12.25resize
100,146.png,Gemini3_alcohol_12.25resize
101,19.png,Gemini3_alcohol_12.25resize
102,124.png,Gemini3_alcohol_12.25resize
103,177.png,Gemini3_alcohol_12.25resize
104,N066.png,GAPED_neutral_resized
105,22.png,Gemini3_alcohol_12.25resize
106,142.png,Gemini3_alcohol_12.25resize
107,49.png,Gemini3_alcohol_12.25resize
108,83.png,Gemini3_alcohol_12.25resize
109,17.png,Gemini3_alcohol_12.25resize
110,68.png,Gemini3_alcohol_12.25resize
111,4.png,Gemini3_alcohol_12.25resize
112,00242.png,WFAIS_alcohol_resized
113,SDC11585.jpg,ABPS_alcohol
114,125.png,Gemini3_alcohol_12.25resize
115,16.png,Gemini3_alcohol_12.25resize
116,62.png,Gemini3_alcohol_12.25resize
117,00248.png,WFAIS_alcohol_resized
118,N019.png,GAPED_neutral_resized
119,01064.png,WFAIS_alcohol_resized
120,67.png,Gemini3_alcohol_12.25resize
121,79.png,Gemini3_alcohol_12.25resize
122,N064.png,GAPED_neutral_resized
123,10.png,Gemini3_alcohol_12.25resize
124,N032.png,GAPED_neutral_resized
125,165.png,Gemini3_alcohol_12.25resize
126,133.png,Gemini3_alcohol_12.25resize
127,85.png,Gemini3_alcohol_12.25resize
128,53.png,Gemini3_alcohol_12.25resize
129,N069.png,GAPED_neutral_resized
130,96.png,Gemini3_alcohol_12.25resize
131,176.png,Gemini3_alcohol_12.25resize
132,126.png,Gemini3_alcohol_12.25resize
133,169.png,Gemini3_alcohol_12.25resize
134,N033.png,GAPED_neutral_resized
135,116.png,Gemini3_alcohol_12.25resize
136,11.png,Gemini3_alcohol_12.25resize
137,00169.png,WFAIS_alcohol_resized
138,56.png,Gemini3_alcohol_12.25resize
139,82.png,Gemini3_alcohol_12.25resize
140,144.png,Gemini3_alcohol_12.25resize
141,136.png,Gemini3_alcohol_12.25resize
142,37.png,Gemini3_alcohol_12.25resize
143,1.png,Gemini3_alcohol_12.25resize
144,192.png,Gemini3_alcohol_12.25resize
145,36.png,Gemini3_alcohol_12.25resize
146,N034.png,GAPED_neutral_resized
147,00110.png,WFAIS_alcohol_resized
148,N025.png,GAPED_neutral_resized
149,SDC11586.jpg,ABPS_alcohol
150,N009.png,GAPED_neutral_resized
151,114.png,Gemini3_alcohol_12.25resize
152,N077.png,GAPED_neutral_resized
153,155.png,Gemini3_alcohol_12.25resize
154,166.png,Gemini3_alcohol_12.25resize
155,N018.png,GAPED_neutral_resized
156,00821.png,WFAIS_alcohol_resized
157,115.png,Gemini3_alcohol_12.25resize
158,N079.png,GAPED_neutral_resized
159,N020.png,GAPED_neutral_resized
160,186.png,Gemini3_alcohol_12.25resize
161,N038.png,GAPED_neutral_resized
162,25.png,Gemini3_alcohol_12.25resize
163,199.png,Gemini3_alcohol_12.25resize
164,33.png,Gemini3_alcohol_12.25resize
165,180.png,Gemini3_alcohol_12.25resize
166,63.png,Gemini3_alcohol_12.25resize
167,194.png,Gemini3_alcohol_12.25resize
168,N001.png,GAPED_neutral_resized
169,170.png,Gemini3_alcohol_12.25resize
170,93.png,Gemini3_alcohol_12.25resize
171,29.png,Gemini3_alcohol_12.25resize
172,171.png,Gemini3_alcohol_12.25resize
173,197.png,Gemini3_alcohol_12.25resize
174,74.png,Gemini3_alcohol_12.25resize
175,26.png,Gemini3_alcohol_12.25resize
176,N040.png,GAPED_neutral_resized
177,60.png,Gemini3_alcohol_12.25resize
178,141.png,Gemini3_alcohol_12.25resize
179,195.png,Gemini3_alcohol_12.25resize
180,48.png,Gemini3_alcohol_12.25resize
181,55.png,Gemini3_alcohol_12.25resize
182,N021.png,GAPED_neutral_resized
183,184.png,Gemini3_alcohol_12.25resize
184,01049.png,WFAIS_alcohol_resized
185,N015.png,GAPED_neutral_resized
186,35.png,Gemini3_alcohol_12.25resize
187,88.png,Gemini3_alcohol_12.25resize
188,66.png,Gemini3_alcohol_12.25resize
189,123.png,Gemini3_alcohol_12.25resize
190,27.png,Gemini3_alcohol_12.25resize
191,N004.png,GAPED_neutral_resized
192,18.png,Gemini3_alcohol_12.25resize
193,112.png,Gemini3_alcohol_12.25resize
194,N042.png,GAPED_neutral_resized
195,7.png,Gemini3_alcohol_12.25resize
196,163.png,Gemini3_alcohol_12.25resize
197,N075.png,GAPED_neutral_resized
198,119.png,Gemini3_alcohol_12.25resize
199,SDC11500.jpg,ABPS_alcohol
200,N036.png,GAPED_neutral_resized
201,SDC11509.jpg,ABPS_alcohol
202,N028.png,GAPED_neutral_resized
203,99.png,Gemini3_alcohol_12.25resize
204,128.png,Gemini3_alcohol_12.25resize
205,N023.png,GAPED_neutral_resized
206,15.png,Gemini3_alcohol_12.25resize
207,N043.png,GAPED_neutral_resized
208,41.png,Gemini3_alcohol_12.25resize
209,SDC11574.jpg,ABPS_alcohol
210,148.png,Gemini3_alcohol_12.25resize
211,00309.png,WFAIS_alcohol_resized
212,00893.png,WFAIS_alcohol_resized
213,109.png,Gemini3_alcohol_12.25resize
214,52.png,Gemini3_alcohol_12.25resize
215,89.png,Gemini3_alcohol_12.25resize
216,50.png,Gemini3_alcohol_12.25resize
217,N024.png,GAPED_neutral_resized
218,111.png,Gemini3_alcohol_12.25resize
219,12.png,Gemini3_alcohol_12.25resize
220,00047.png,WFAIS_alcohol_resized
221,SDC11507.jpg,ABPS_alcohol
222,143.png,Gemini3_alcohol_12.25resize
223,42.png,Gemini3_alcohol_12.25resize
224,71.png,Gemini3_alcohol_12.25resize
225,00358.png,WFAIS_alcohol_resized
226,183.png,Gemini3_alcohol_12.25resize
227,N065.png,GAPED_neutral_resized
228,90.png,Gemini3_alcohol_12.25resize
229,121.png,Gemini3_alcohol_12.25resize
230,N071.png,GAPED_neutral_resized
231,190.png,Gemini3_alcohol_12.25resize
232,110.png,Gemini3_alcohol_12.25resize
233,181.png,Gemini3_alcohol_12.25resize
234,78.png,Gemini3_alcohol_12.25resize
235,N078.png,GAPED_neutral_resized
236,N022.png,GAPED_neutral_resized
237,102.png,Gemini3_alcohol_12.25resize
238,N041.png,GAPED_neutral_resized
239,64.png,Gemini3_alcohol_12.25resize
240,178.png,Gemini3_alcohol_12.25resize
241,72.png,Gemini3_alcohol_12.25resize
242,SDC11506.jpg,ABPS_alcohol
243,N047.png,GAPED_neutral_resized
244,N068.png,GAPED_neutral_resized
245,31.png,Gemini3_alcohol_12.25resize
246,45.png,Gemini3_alcohol_12.25resize
247,160.png,Gemini3_alcohol_12.25resize
248,SDC11503.jpg,ABPS_alcohol
249,N017.png,GAPED_neutral_resized
