trial_num,image_id,library
1,00468.png,WFAIS_alcohol_resized
2,139.png,Gemini3_alcohol_12.25resize
3,61.png,Gemini3_alcohol_12.25resize
4,91.png,Gemini3_alcohol_12.25resize
5,192.png,Gemini3_alcohol_12.25resize
6,10.png,Gemini3_alcohol_12.25resize
7,67.png,Gemini3_alcohol_12.25resize
8,184.png,Gemini3_alcohol_12.25resize
9,12.png,Gemini3_alcohol_12.25resize
10,47.png,Gemini3_alcohol_12.25resize
11,108.png,Gemini3_alcohol_12.25resize
12,N045.png,GAPED_neutral_resized
13,154.png,Gemini3_alcohol_12.25resize
14,N061.png,GAPED_neutral_resized
15,27.png,Gemini3_alcohol_12.25resize
16,159.png,Gemini3_alcohol_12.25resize
17,58.png,Gemini3_alcohol_12.25resize
18,00358.png,WFAIS_alcohol_resized
19,44.png,Gemini3_alcohol_12.25resize
20,17.png,Gemini3_alcohol_12.25resize
21,N066.png,GAPED_neutral_resized
22,70.png,Gemini3_alcohol_12.25resize
23,186.png,Gemini3_alcohol_12.25resize
24,N047.png,GAPED_neutral_resized
25,129.png,Gemini3_alcohol_12.25resize
26,36.png,Gemini3_alcohol_12.25resize
27,149.png,Gemini3_alcohol_12.25resize
28,25.png,Gemini3_alcohol_12.25resize
29,194.png,Gemini3_alcohol_12.25resize
30,178.png,Gemini3_alcohol_12.25resize
31,138.png,Gemini3_alcohol_12.25resize
32,SDC11585.jpg,ABPS_alcohol
33,N023.png,GAPED_neutral_resized
34,11.png,Gemini3_alcohol_12.25resize
35,16.png,Gemini3_alcohol_12.25resize
36,N062.png,GAPED_neutral_resized
37,150.png,Gemini3_alcohol_12.25resize
38,00169.png,WFAIS_alcohol_resized
39,N067.png,GAPED_neutral_resized
40,195.png,Gemini3_alcohol_12.25resize
41,00047.png,WFAIS_alcohol_resized
42,197.png,Gemini3_alcohol_12.25resize
43,14.png,Gemini3_alcohol_12.25resize
44,76.png,Gemini3_alcohol_12.25resize
45,111.png,Gemini3_alcohol_12.25resize
46,SDC11507.jpg,ABPS_alcohol
47,01064.png,WFAIS_alcohol_resized
48,181.png,Gemini3_alcohol_12.25resize
49,N032.png,GAPED_neutral_resized
50,179.png,Gemini3_alcohol_12.25resize
51,134.png,Gemini3_alcohol_12.25resize
52,183.png,Gemini3_alcohol_12.25resize
53,N001.png,GAPED_neutral_resized
54,105.png,Gemini3_alcohol_12.25resize
55,77.png,Gemini3_alcohol_12.25resize
56,62.png,Gemini3_alcohol_12.25resize
57,SDC11509.jpg,ABPS_alcohol
